Wall time,Step,Value
1535146541.3069062,4,0.0
1535146566.6616642,6,0.0
1535146604.4409242,9,0.0
1535146617.071612,10,0.0
1535146654.9691224,13,0.0
1535146718.2530196,18,0.0
1535146743.4457707,20,0.0
1535146768.7386916,22,0.0
1535146806.7276688,25,0.0
1535146844.818781,28,0.0
1535146870.1387448,30,0.0
1535146958.587122,37,0.0
1535146983.7977567,39,0.0
1535147009.1190054,41,0.0
1535147021.6624305,42,0.0
1535147034.3875117,43,0.0
1535147084.8982525,47,0.0
1535147122.66275,50,0.0
1535147147.8389645,52,0.0
1535147173.0390458,54,0.0
1535147185.5836873,55,0.0
1535147210.7100656,57,0.0
1535147223.2546926,58,0.0
1535147248.4183917,60,0.0
1535147387.0222418,71,0.0
1535147525.7448285,82,0.0
1535147538.3572447,83,0.0
1535147550.9900842,84,0.0
1535147601.3904982,88,0.0
1535147639.3200672,91,0.0
1535147651.9724846,92,0.0
1535147702.3752153,96,0.0
1535147740.3360815,99,0.0
1535147778.174557,102,0.0
1535147828.6724787,106,0.0
1535147841.239281,107,0.0
1535147853.868909,108,0.0
1535147866.4783819,109,0.0
1535147942.010633,115,0.0
1535147967.279892,117,0.0
1535148093.468402,127,0.0
1535148131.3798513,130,0.0022321429569274187
1535148169.1683753,133,0.0
1535148181.711015,134,0.0
1535148206.9876828,136,0.0
1535148257.4172454,140,0.0
1535148270.0089135,141,0.0
1535148295.0945597,143,0.004464285913854837
1535148358.19908,148,0.0
1535148509.6257126,160,0.0
1535148522.2495918,161,0.0
1535148534.802932,162,0.0
1535148597.8761892,167,0.0
1535148648.3278956,171,0.0
1535148698.72378,175,0.0022321429569274187
1535148711.3274615,176,0.0
1535148786.893555,182,0.0
1535148824.614129,185,0.0
1535148837.0807488,186,0.0
1535148849.6534636,187,0.0
1535148862.2636917,188,0.0
1535148874.8724065,189,0.0
1535148937.8379548,194,0.0
1535148950.4485376,195,0.0
1535149000.7548685,199,0.0
1535149025.9528103,201,0.0
1535149038.568505,202,0.0
1535149089.0581958,206,0.0
1535149114.2202237,208,0.0
1535149152.0032403,211,0.0
1535149214.8116884,216,0.0022321429569274187
1535149265.215294,220,0.0022321429569274187
1535149277.7718034,221,0.0
1535149302.9684947,223,0.0
1535149315.5723972,224,0.0
1535149328.1090362,225,0.0
1535149365.9581177,228,0.0
1535149391.297273,230,0.0
1535149466.8416467,236,0.0
1535149479.4403768,237,0.0
1535149492.0236204,238,0.0
1535149504.6216486,239,0.0
1535149542.3105922,242,0.0
1535149554.8988318,243,0.0
1535149592.7871275,246,0.0
1535149618.1133335,248,0.0
1535149781.8755426,261,0.0
1535149807.2206388,263,0.0
1535149832.3844624,265,0.0022321429569274187
1535149958.595855,275,0.0
1535149971.1536713,276,0.0
1535149996.4800043,278,0.0
1535150009.1001215,279,0.0
1535150034.2674317,281,0.0
1535150046.8439019,282,0.0
1535150097.2925868,286,0.0
1535150122.6432862,288,0.0
1535150135.316419,289,0.0
1535150185.8099694,293,0.0
1535150223.7960103,296,0.0
1535150236.3999224,297,0.0
1535150249.0659945,298,0.0
1535150261.723916,299,0.0022321429569274187
1535150274.374481,300,0.0022321429569274187
1535150287.0930786,301,0.0
1535150312.2818687,303,0.0022321429569274187
1535150413.3296216,311,0.0022321429569274187
1535150438.539397,313,0.0
1535150451.2250595,314,0.0022321429569274187
1535150463.8598864,315,0.0
1535150489.0361612,317,0.0
1535150526.9698396,320,0.0
1535150602.6122155,326,0.0
1535150640.3602426,329,0.0
1535150665.5834696,331,0.0
1535150678.2088225,332,0.0022321429569274187
1535150715.9901795,335,0.0
1535150728.6678836,336,0.0022321429569274187
1535150766.5568962,339,0.0
1535150779.1836395,340,0.0
1535150791.8731775,341,0.0
1535150804.5122721,342,0.0
1535150817.1494074,343,0.0
1535150842.497663,345,0.0022321429569274187
1535150855.082194,346,0.0
1535150880.4958904,348,0.0
1535150893.1326125,349,0.0022321429569274187
1535150918.4541125,351,0.0
1535150994.280394,357,0.0
1535151006.8625352,358,0.0
1535151032.0474098,360,0.0
1535151044.6766093,361,0.0
1535151069.8535345,363,0.0022321429569274187
1535151095.106303,365,0.0
1535151120.3276587,367,0.0022321429569274187
1535151133.038116,368,0.0
1535151145.649968,369,0.0022321429569274187
1535151158.325823,370,0.0
1535151183.5259924,372,0.0
1535151234.1055782,376,0.0
1535151284.6949303,380,0.0
1535151297.3019023,381,0.0022321429569274187
1535151322.484252,383,0.0
1535151335.077575,384,0.0
1535151347.7022583,385,0.0
1535151360.3075006,386,0.0
1535151372.9263682,387,0.0022321429569274187
1535151511.5796082,398,0.0
1535151549.4561372,401,0.0022321429569274187
1535151562.0439627,402,0.0
1535151574.6196873,403,0.0022321429569274187
1535151599.9169283,405,0.0022321429569274187
