Wall time,Step,Value
1535333589.9324813,4,0.0
1535333643.6097302,6,0.0
1535333670.8795142,7,0.0
1535333697.7798932,8,0.0
1535333727.0143077,9,0.0
1535333749.4626641,10,0.0
1535333773.82347,11,0.0
1535333805.8180234,12,0.0
1535333834.6910536,13,0.0
1535333984.2762454,18,0.0
1535334011.7126982,19,0.0
1535334048.4329758,20,0.0
1535334080.814084,21,0.0
1535334109.7157156,22,0.0
1535334133.746732,23,0.0
1535334164.1405175,24,0.0
1535334202.8688538,25,0.0
1535334228.205992,26,0.0
1535334302.0385802,28,0.0
1535334346.9755774,30,0.0
1535334480.276974,34,0.0
1535334512.3310878,35,0.0
1535334539.462962,36,0.0
1535334572.731287,37,0.0
1535334596.0771756,38,0.0
1535334626.3365653,39,0.0
1535334650.3172638,40,0.0
1535334684.8236423,41,0.0
1535334714.4037714,42,0.0
1535334741.714074,43,0.0
1535334803.6307054,45,0.0
1535334836.5790339,46,0.0
1535334865.3917644,47,0.0
1535334902.465162,48,0.0
1535334930.2492762,49,0.0
1535334956.922019,50,0.0
1535335023.0583227,52,0.0
1535335080.291705,54,0.0
1535335104.551935,55,0.0
1535335133.8480988,56,0.0
1535335158.9720523,57,0.0
1535335189.4299922,58,0.0
1535335216.6448228,59,0.0
1535335241.1871312,60,0.0
1535335263.937107,61,0.0
1535335292.4303663,62,0.0
1535335393.891999,66,0.0
1535335475.7330458,69,0.0
1535335517.114242,71,0.0
1535335543.7464051,72,0.0
1535335565.1456907,73,0.0
1535335604.4902105,74,0.0
1535335718.342081,78,0.0
1535335787.8648057,80,0.0
1535335853.023584,82,0.0
1535335886.7053525,83,0.0
1535335913.4581008,84,0.0
1535335950.811057,85,0.0
1535335977.055036,86,0.0
1535336045.2345111,88,0.0
1535336076.0761418,89,0.0
1535336099.6409652,90,0.0
1535336125.545956,91,0.0
1535336154.6831717,92,0.0
1535336183.1591473,93,0.0
1535336245.4195042,95,0.0
1535336269.9649591,96,0.0
1535336302.0937333,97,0.0
1535336323.5475848,98,0.0
1535336357.4306984,99,0.0
1535336409.1424634,101,0.0
1535336435.1077914,102,0.0
1535336466.3234034,103,0.0
1535336555.3966973,106,0.0
1535336589.3154619,107,0.0
1535336618.8755524,108,0.0
1535336644.8781488,109,0.0
1535336675.4424403,110,0.0
1535336763.408779,113,0.0
1535336792.7459857,114,0.0
1535336828.7305033,115,0.0
1535336891.9804573,117,0.0
1535336937.1413362,119,0.0
1535337054.0418954,123,0.0
1535337071.928486,124,0.0
1535337102.8214571,125,0.0
1535337157.1237843,127,0.0
1535337189.4645472,128,0.0
1535337233.2297876,130,0.0
1535337296.138643,132,0.0
1535337331.304361,133,0.0
1535337359.7573085,134,0.0
1535337385.390152,135,0.0
1535337416.3394692,136,0.0
1535337478.1973822,138,0.0
1535337506.6971078,139,0.0
1535337534.138652,140,0.0
1535337565.8788865,141,0.0
1535337590.7978213,142,0.0
1535337623.2594106,143,0.0
1535337708.9151678,146,0.0
1535337738.634725,147,0.0
1535337766.401054,148,0.0
1535337829.9340127,150,0.0
1535337851.2029517,151,0.0
1535337872.5473688,152,0.0
1535337925.5584047,154,0.0
1535337962.0601408,155,0.0021786491852253675
1535337994.0382383,156,0.0
1535338022.809351,157,0.0
1535338056.6158879,158,0.0
1535338104.5706618,160,0.0
1535338131.671729,161,0.0
1535338165.4981172,162,0.0
1535338192.8223722,163,0.0
1535338246.578025,165,0.0
1535338274.1318984,166,0.0
1535338297.5054996,167,0.0
1535338318.6799738,168,0.0
1535338346.7868578,169,0.0
