Wall time,Step,Value
1534893533.8367898,4,0.0
1534893562.466562,6,0.0
1534893614.292337,9,0.0
1534893741.474234,18,0.0
1534893768.895807,20,0.0
1534893796.3355978,22,0.0
1534893830.419568,25,0.0
1534893869.0689566,28,0.04038085788488388
1534893889.4618285,30,0.01406249962747097
1534894011.5159078,39,0.0
1534894052.518168,42,0.0098876953125
1534894066.14029,43,0.0
1534894113.8793995,47,0.02045898512005806
1534894181.0748358,52,0.0
1534894207.1511638,54,0.0
1534894218.4787638,55,0.0001464843808207661
1534894243.5588837,57,0.04982910305261612
1534894253.6971517,58,0.00019531250291038305
1534894288.097522,60,0.0
1534894443.3722136,71,0.0
1534894581.070535,82,0.00019531250291038305
1534894599.5465472,83,0.0
1534894609.7047567,84,0.00017089843458961695
1534894660.7021632,88,0.0213623046875
1534894700.5472913,91,0.0
1534894716.6654725,92,0.0
1534894798.5158198,99,0.02036132849752903
1534894834.9620967,102,7.324219041038305e-05
1534894882.7990954,106,0.0
1534894895.258499,107,0.0
1534894907.8304827,108,0.0
1534895006.014275,115,0.0
1534895033.323719,117,0.0
1534895177.38524,127,0.0115966796875
1534895209.0307467,130,0.00017089843458961695
1534895258.2406561,133,0.0
1534895273.1184998,134,0.0
1534895369.8522532,141,0.0
1534895399.544765,143,0.0
1534895662.2648664,160,0.0
1534895672.4215739,161,0.0002685546933207661
1534895686.1600163,162,0.0
1534895804.969808,171,0.0004150390741415322
1534895858.4484644,175,0.02082519605755806
1534895867.3227627,176,0.02077636681497097
1534895953.0217774,182,0.00019531250291038305
1534895989.2809095,185,0.0068115233443677425
1534896003.0724633,186,0.0
1534896036.9824603,189,0.0
1534896115.9708395,194,0.0
1534896126.1452262,195,0.0001464843808207661
1534896211.9557278,201,0.0
1534896225.6895466,202,0.0
1534896292.6768763,208,0.0
1534896336.1682258,211,0.0
1534896398.793709,216,0.0007812500116415322
1534896457.0939527,220,0.0
1534896470.7846923,221,0.0
1534896514.1894174,224,0.0
1534896525.6109853,225,0.0004394531133584678
1534896569.1829093,228,0.0
1534896593.042897,230,0.0
1534896676.481525,236,7.324219041038305e-05
1534896691.4001296,237,0.0
1534896709.825374,238,0.0
1534896722.3391948,239,0.0
1534896767.747236,243,2.441406286379788e-05
1534896816.0131853,246,0.0
1534896844.6868017,248,0.00905761681497097
1534897048.772487,261,0.0
1534897074.9815097,263,0.05490722507238388
1534897107.119186,265,0.0
1534897263.7694602,276,7.324219041038305e-05
1534897285.250275,278,0.0016357421409338713
1534897295.4779418,279,0.01564941368997097
1534897325.3197691,281,0.0
1534897341.4676712,282,0.0
1534897384.3896923,286,2.441406286379788e-05
1534897428.9995723,289,0.0196533203125
1534897486.2632995,293,0.0007812500116415322
1534897564.242197,298,4.882812572759576e-05
1534897585.8425865,300,0.00019531250291038305
1534897604.145331,301,0.0
1534897637.4810383,303,0.0
1534897737.5839646,311,4.882812572759576e-05
1534897759.0251737,313,0.0001464843808207661
1534897772.6814227,314,0.0
1534897786.3675494,315,0.0
1534897811.4934847,317,0.002197265625
1534897969.9378095,329,0.02485351637005806
1534897998.5863597,331,0.035888671875
1534898008.7484138,332,0.03237304836511612
1534898046.387973,335,0.04140625149011612
1534898061.1900764,336,0.0
1534898094.0619776,339,0.00017089843458961695
1534898106.5212839,340,0.0003906250058207661
1534898116.6966279,341,0.0345458984375
1534898125.660341,342,0.3982177674770355
1534898158.5180917,345,0.04440917819738388
1534898176.8873258,346,0.0
1534898201.9000013,348,0.740405261516571
1534898216.8120005,349,0.0
1534898250.046399,351,0.0
1534898329.7869208,357,7.324219041038305e-05
1534898347.0503662,358,0.0
1534898381.541558,360,0.0
1534898397.581155,361,0.0
1534898428.6035721,363,0.0
1534898461.9062502,365,0.0
1534898493.9753897,367,0.0
1534898504.0965822,368,0.04062499850988388
1534898521.3161676,369,0.0
1534898530.2611408,370,0.7523437738418579
1534898564.8315885,372,0.0
1534898610.2262468,376,0.04541015625
1534898665.106664,380,0.0054687499068677425
1534898681.1753669,381,0.0
1534898714.5290217,383,0.0
1534898725.9032712,384,0.004565429873764515
1534898739.57055,385,0.0
1534898750.918596,386,0.005541992373764515
1534898769.372897,387,0.0
1534898901.0840466,398,0.0006347656017169356
1534898938.657953,401,0.0
1534898949.9957592,402,0.004565429873764515
1534898961.3502047,403,0.005932617001235485
1534898991.0048854,405,0.0
1534899059.5071955,410,0.4016357362270355
1534899077.4340463,412,0.880297839641571
1534899126.4053125,416,0.005322265438735485
1534899174.6183472,419,0.0
1534899266.2049882,425,0.0044921874068677425
1534899279.9372895,426,4.882812572759576e-05
1534899293.6761863,427,9.765625145519152e-05
1534899327.7793262,430,0.0070556639693677425
1534899352.8855677,432,0.0
1534899380.2190135,434,0.0006347656017169356
1534899397.4190807,435,0.0
1534899445.3849182,439,0.0504150390625
1534899463.282386,441,0.915820300579071
1534899510.1580975,444,0.0
1534899525.11005,445,0.0
1534899553.8738215,447,0.0003173828008584678
1534899565.15964,448,0.006152343936264515
1534899631.321627,453,0.0
1534899672.508187,456,0.05307617038488388
1534899681.4717698,457,0.80859375
1534899737.3911943,461,0.00048828125
1534899794.1572137,466,0.06245117262005806
1534899806.6640706,467,0.0005859375232830644
1534899887.2529309,472,0.0
1534899899.8235433,473,0.0004638671816792339
1534899917.0676239,474,0.0
1534899981.1688538,478,0.0
1534899990.067954,479,0.942675769329071
1534900026.4476225,482,0.0
1534900053.8761702,484,0.0006591796991415322
1534900105.1610963,488,0.0
1534900123.4496238,489,0.0
1534900177.7055435,494,0.9228515625
1534900223.676779,497,0.0
