Wall time,Step,Value
1535146541.3067217,4,1.518981695175171
1535146566.6615067,6,1.4588737487792969
1535146604.4407675,9,1.361720085144043
1535146617.0714574,10,1.4147413969039917
1535146654.9689696,13,1.3136823177337646
1535146718.2528653,18,1.2683308124542236
1535146743.4455152,20,1.257861852645874
1535146768.7385392,22,1.3321387767791748
1535146806.727513,25,1.263742446899414
1535146844.8186069,28,1.2437608242034912
1535146870.1385908,30,1.2417525053024292
1535146958.5869691,37,1.2411421537399292
1535146983.7976031,39,1.2330684661865234
1535147009.1188526,41,1.3003153800964355
1535147021.6622553,42,1.2661828994750977
1535147034.3873365,43,1.2428197860717773
1535147084.8980997,47,1.23639714717865
1535147122.6625974,50,1.231732964515686
1535147147.8388116,52,1.2239066362380981
1535147173.0387669,54,1.2278834581375122
1535147185.5835354,55,1.2293157577514648
1535147210.7099035,57,1.2225854396820068
1535147223.2544627,58,1.2289562225341797
1535147248.4181588,60,1.2293034791946411
1535147387.0220296,71,1.2162948846817017
1535147525.7446506,82,1.2085082530975342
1535147538.3569891,83,1.2164644002914429
1535147550.9898589,84,1.2089048624038696
1535147601.3903387,88,1.2135411500930786
1535147639.319914,91,1.2081085443496704
1535147651.972331,92,1.2044345140457153
1535147702.3750615,96,1.1977205276489258
1535147740.3359253,99,1.2154901027679443
1535147778.1744025,102,1.184895396232605
1535147828.6723254,106,1.1963037252426147
1535147841.239128,107,1.1810307502746582
1535147853.868733,108,1.1839430332183838
1535147866.478208,109,1.2018026113510132
1535147942.01048,115,1.1744117736816406
1535147967.2797184,117,1.1633422374725342
1535148093.4681904,127,1.1826385259628296
1535148131.3796988,130,1.1603657007217407
1535148169.1682231,133,1.1440101861953735
1535148181.710863,134,1.1486841440200806
1535148206.9875305,136,1.152219295501709
1535148257.4170935,140,1.164313793182373
1535148270.0087636,141,1.1548837423324585
1535148295.094306,143,1.141391634941101
1535148358.1989267,148,1.1490561962127686
1535148509.6255617,160,1.1342414617538452
1535148522.2494404,161,1.1340538263320923
