Wall time,Step,Value
1534893533.8385577,4,0.0
1534893562.468087,6,0.0
1534893614.2938983,9,0.0
1534893741.4758105,18,0.0
1534893768.8975067,20,0.0
1534893796.3371637,22,0.0
1534893830.4210093,25,0.0
1534893869.0704982,28,1.0
1534893889.4633796,30,1.0
1534894011.5174675,39,0.0
1534894052.5196388,42,1.0
1534894066.1417868,43,0.0
1534894113.8811226,47,1.0
1534894181.0764225,52,0.0
1534894207.1526723,54,0.0
1534894218.4802303,55,0.0
1534894243.5603893,57,1.0
1534894253.6992166,58,0.0
1534894288.0990524,60,0.0
1534894443.3737185,71,0.0
1534894581.072034,82,0.0
1534894599.5480566,83,0.0
1534894609.7068884,84,0.0
1534894660.7039208,88,1.0
1534894700.5488195,91,0.0
1534894716.6669505,92,0.0
1534894798.5174968,99,1.0
1534894834.9636319,102,0.0
1534894882.800663,106,0.0
1534894895.2600722,107,0.0
1534894907.8320496,108,0.0
1534895006.015777,115,0.0
1534895033.325348,117,0.0
1534895177.3867948,127,1.0
1534895209.0322616,130,0.0
1534895258.2421434,133,0.0
1534895273.120248,134,0.0
1534895369.8538647,141,0.0
1534895399.5463266,143,0.0
1534895662.266532,160,0.0
1534895672.4231088,161,0.0
1534895686.1615417,162,0.0
1534895804.9713159,171,0.0
1534895858.4500372,175,1.0
1534895867.3242607,176,1.0
1534895953.0233107,182,0.0
1534895989.2824645,185,1.0
1534896003.0739672,186,0.0
1534896036.983979,189,0.0
1534896115.972303,194,0.0
1534896126.1468391,195,0.0
1534896211.957264,201,0.0
1534896225.69127,202,0.0
1534896292.678386,208,0.0
1534896336.169813,211,0.0
1534896398.7953098,216,0.0
1534896457.09553,220,0.0
1534896470.786265,221,0.0
1534896514.1909542,224,0.0
1534896525.612523,225,0.0
1534896569.1846106,228,0.0
1534896593.0445783,230,0.0
1534896676.4831498,236,0.0
1534896691.401875,237,0.0
1534896709.8270314,238,0.0
1534896722.3408246,239,0.0
1534896767.7487743,243,0.0
1534896816.0149367,246,0.0
1534896844.6883867,248,0.0
1534897048.7740295,261,0.0
1534897074.983205,263,1.0
1534897107.1207602,265,0.0
1534897263.7709901,276,0.0
1534897285.25181,278,0.0
1534897295.4795916,279,0.0
1534897325.3214152,281,0.0
1534897341.4693334,282,0.0
1534897384.3913245,286,0.0
1534897429.0011048,289,0.0
1534897486.2648926,293,0.0
1534897564.2437055,298,0.0
1534897585.8441868,300,0.0
1534897604.146876,301,0.0
1534897637.4825997,303,0.0
1534897737.5856464,311,0.0
1534897759.0268142,313,0.0
1534897772.683018,314,0.0
1534897786.369066,315,0.0
1534897811.4950376,317,0.0
1534897969.9393272,329,0.0
1534897998.5878866,331,0.0
1534898008.750097,332,0.0
1534898046.3895388,335,0.0
1534898061.1915848,336,0.0
1534898094.0636032,339,0.0
1534898106.5230126,340,0.0
1534898116.6983254,341,0.0
1534898125.6618416,342,1.0
1534898158.5196857,345,0.0
1534898176.8888147,346,0.0
1534898201.9017508,348,1.0
1534898216.8135452,349,0.0
1534898250.0479655,351,0.0
1534898329.7885237,357,0.0
1534898347.0518668,358,0.0
1534898381.5431387,360,0.0
1534898397.582701,361,0.0
1534898428.6051474,363,0.0
1534898461.9079926,365,0.0
1534898493.977014,367,0.0
1534898504.0981758,368,0.0
1534898521.3176882,369,0.0
1534898530.2626987,370,1.0
1534898564.8332233,372,0.0
1534898610.227818,376,0.0
1534898665.1082335,380,0.0
1534898681.1769555,381,0.0
1534898714.5306382,383,0.0
1534898725.9047775,384,0.0
1534898739.5722754,385,0.0
1534898750.920075,386,0.0
1534898769.3746064,387,0.0
1534898901.0855591,398,0.0
1534898938.6596293,401,0.0
1534898949.9972866,402,0.0
1534898961.3518026,403,0.0
1534898991.0066075,405,0.0
1534899059.5087926,410,1.0
1534899077.4356153,412,1.0
1534899126.4070141,416,0.0
1534899174.620056,419,0.0
1534899266.2065806,425,0.0
1534899279.938862,426,0.0
1534899293.6777499,427,0.0
1534899327.7808516,430,0.0
1534899352.8873148,432,0.0
1534899380.2206545,434,0.0
1534899397.420654,435,0.0
1534899445.3865001,439,0.0
1534899463.284048,441,1.0
1534899510.1596963,444,0.0
1534899525.1115775,445,0.0
1534899553.8758907,447,0.0
1534899565.161325,448,0.0
1534899631.3231685,453,0.0
1534899672.509794,456,0.0
1534899681.473197,457,1.0
1534899737.3927443,461,0.0
1534899794.1587846,466,0.0
1534899806.6656864,467,0.0
1534899887.2545857,472,0.0
1534899899.825139,473,0.0
1534899917.0692954,474,0.0
1534899981.1704721,478,0.0
1534899990.0694773,479,1.0
1534900026.449286,482,0.0
1534900053.8793159,484,0.0
1534900105.1628163,488,0.0
1534900123.4512496,489,0.0
1534900177.7071931,494,1.0
1534900223.6782646,497,0.0
1534900268.2151363,500,0.0
1534900278.3533702,501,0.0
1534900310.0098786,504,1.0
1534900324.856599,505,0.0
1534900355.793141,507,0.0
1534900401.6559327,510,0.0
1534900439.1635358,513,0.0
1534900457.535787,514,0.0
1534900468.993976,515,0.0
1534900507.6413972,518,0.0
1534900517.7752724,519,0.0
1534900569.173207,523,0.0
1534900578.056923,524,1.0
1534900594.0847487,525,0.0
1534900604.288843,526,0.0
1534900672.5554485,531,0.0
1534900684.0080793,532,0.0
1534900721.5808856,535,0.0
1534900743.148444,537,0.0
1534900774.8022692,540,0.0
1534900796.3902495,542,0.0
1534900832.0463893,544,0.0
1534900895.7506616,549,0.0
1534900912.96554,550,0.0
1534900927.8721647,551,0.0
1534900946.3273718,552,0.0
1534900955.1982074,553,1.0
1534900967.6684718,554,0.0
1534901098.992197,564,0.0
1534901136.4788725,567,0.0
1534901210.8132863,572,0.0
1534901231.1133583,574,1.0
1534901282.8359087,577,0.0
1534901292.993497,578,0.0
1534901321.7341287,580,0.0
1534901340.174362,581,0.0
1534901411.7188864,587,0.0
1534901439.1638393,589,0.0
1534901496.3230968,593,0.0
1534901642.9900675,603,0.0
1534901684.292731,606,0.0
1534901705.907732,608,0.0
1534901773.9215155,612,0.0
1534901812.8667557,615,0.0
1534901827.9232342,616,0.0
1534901925.332152,623,0.0
1534902003.5899005,628,0.0
1534902012.533226,629,1.0
1534902142.220612,638,0.0
1534902227.0564039,644,0.0
1534902235.9868925,645,1.0
1534902307.2712233,650,0.0
1534902336.0089157,652,0.0
1534902391.1992614,656,0.0
1534902422.2534864,658,0.0
1534902448.575158,660,0.0
1534902461.1151266,661,0.0
1534902503.6469748,664,1.0
1534902512.6135883,665,1.0
1534902541.3146017,667,0.0
1534902577.2614026,669,0.0
1534902601.1967192,671,0.0
1534902616.1501694,672,0.0
1534902722.7875252,680,0.0
1534902753.4039953,683,0.0
1534902784.4905145,685,0.0
1534902850.7966948,690,0.0
1534902869.3762765,691,0.0
1534902881.9126763,692,0.0
1534902936.8007605,696,0.0
1534902949.3484828,697,0.0
1534902992.5032942,701,0.0
1534903051.1809878,705,0.0
1534903060.0835884,706,1.0
1534903091.0573623,708,0.0
1534903187.355222,715,0.0
1534903276.3855095,722,0.0
1534903303.9074645,724,0.0
1534903322.3860865,725,0.0
1534903337.2531679,726,0.0
1534903354.610244,727,0.0
1534903367.1595242,728,0.0
1534903460.92112,735,0.0
1534903496.403219,738,0.0
1534903536.411798,741,0.0
1534903561.5165498,743,0.0
1534903590.2150137,745,0.0
1534903602.7969759,746,0.0
1534903681.6229749,752,0.0
1534903731.1977315,755,0.0
1534903758.667422,757,1.0
1534903781.417783,759,0.0
1534903808.8857703,761,0.0
1534903835.0800862,763,0.0
1534903893.1583016,768,0.0
1534903905.711936,769,0.0
1534903928.439208,771,0.0
1534903965.3615654,773,0.0
1534904043.447802,778,0.0
1534904107.4127872,783,1.0
1534904221.4003246,790,0.0
1534904233.9895344,791,0.0
1534904268.0547836,794,0.0
1534904336.8776157,799,0.0
1534904354.1371863,800,0.0
1534904467.7646,810,1.0
1534904480.2958183,811,0.0
1534904541.2804267,815,0.0
1534904551.513502,816,0.0
1534904612.4335735,820,0.0
1534904632.8861814,822,0.0
1534904686.140775,827,0.0
1534904699.9101105,828,0.0
1534904711.3119006,829,0.0
1534904725.1642911,830,0.0
1534904753.8165197,832,0.0
1534904789.4782243,834,0.0
1534904816.911659,836,0.0
1534904828.400995,837,0.0
1534904907.8680189,842,0.0
1534904975.5002272,847,0.0
1534905011.883976,850,0.0
1534905029.2457123,851,0.0
1534905101.4929378,856,0.0
1534905110.495376,857,1.0
1534905137.9507494,859,0.0
1534905160.7959614,861,0.0
1534905217.4877563,866,0.0
1534905232.3360922,867,0.0
1534905243.7025726,868,0.0
1534905275.9998608,870,0.0
1534905308.2776072,872,0.0
1534905340.4353545,874,0.0
1534905375.578854,877,1.0
1534905385.721684,878,0.0
1534905457.50706,884,0.0
1534905466.4655683,885,1.0
1534905494.0064843,887,0.0
1534905523.990759,889,0.0
1534905555.0078125,891,0.0
1534905663.2363017,900,1.0
1534905694.3252866,902,0.0
1534905708.1416342,903,0.0
1534905738.1590922,905,0.0
1534905864.1039872,914,0.0
1534905881.5038338,915,0.0
1534905911.9847045,918,0.0
1534905975.208964,922,0.0
1534906000.3477921,924,0.0
1534906076.890848,930,0.0
1534906087.1293344,931,0.0
1534906102.1325457,932,0.0
1534906111.118402,933,1.0
1534906142.135134,935,0.0
1534906167.228118,937,0.0
1534906224.6780808,941,0.0
1534906254.5545,943,0.0
1534906283.9130523,946,0.0
1534906316.1556742,948,0.0
1534906404.7185452,956,0.0
1534906497.105315,963,0.0
1534906533.587049,966,0.0
1534906563.4048114,968,0.0
1534906609.3906732,971,0.0
1534906666.8299124,975,0.0
1534906694.5171988,977,0.0
1534906712.9836636,978,0.0
1534906740.5256228,980,0.0
1534906791.2599587,983,0.0
1534906806.1438816,984,0.0
1534906915.1725848,991,0.0
1534906933.7626486,992,0.0
1534906987.403326,996,1.0
1534907098.2237651,1004,0.0
1534907111.9476812,1005,0.0
1534907130.4409401,1006,0.0
1534907141.7935002,1007,0.0
1534907165.7275777,1009,0.0
1534907209.302333,1012,1.0
1534907225.4535408,1013,0.0
1534907360.8075354,1023,1.0
1534907408.1771388,1026,0.0
1534907418.3252742,1027,0.0
1534907516.2639756,1033,0.0
1534907534.6730146,1034,0.0
1534907576.0396686,1037,0.0
1534907593.2134364,1038,0.0
1534907638.186576,1041,0.0
1534907647.146782,1042,1.0
1534907681.6751306,1044,0.0
1534907711.4421692,1046,0.0
