Wall time,Step,Value
1535245960.597212,4,0.0
1535246002.7751563,6,0.0
1535246074.6523015,9,0.0
1535246099.8722558,10,0.0
1535246163.185007,13,0.0
1535246258.8137076,18,0.0
1535246299.8460145,20,0.0
1535246346.028005,22,0.0
1535246405.4225395,25,0.0
1535246429.5882988,26,0.0
1535246471.2750444,28,0.0
1535246506.6940875,30,0.0
1535246609.9515607,35,1.0
1535246626.8690562,36,0.0
1535246649.3610296,37,0.0
1535246666.3159602,38,0.0
1535246682.3675084,39,0.0
1535246725.1988332,41,0.0
1535246745.522742,42,1.0
1535246770.9020886,43,0.0
1535246830.3980334,46,0.0
1535246851.256495,47,1.0
1535246897.4603128,49,0.0
1535246914.3781013,50,0.0
1535246951.5564835,52,1.0
1535246991.1327918,54,0.0
1535247011.8651621,55,1.0
1535247055.2841947,57,0.0
1535247073.6937256,58,0.0
1535247096.7346516,59,0.0
1535247116.2743819,60,0.0
1535247341.2834468,71,1.0
1535247363.933731,72,0.0
1535247406.8696558,74,1.0
1535247492.6546304,78,0.0
1535247576.0659585,82,0.0
1535247599.8257732,83,0.0
1535247620.1110513,84,1.0
1535247711.0779514,88,0.0
1535247777.5202296,91,0.0
1535247798.322184,92,1.0
1535247887.594721,96,0.0
1535247948.8448806,99,0.0
1535248016.905984,102,0.0
1535248036.0974095,103,0.0
1535248104.268767,106,0.0
1535248121.1180444,107,0.0
1535248145.2979443,108,0.0
1535248166.7022939,109,0.0
1535248286.5126026,115,0.0
1535248325.2564504,117,1.0
1535248463.036162,123,0.0
1535248478.7276475,124,0.0
1535248494.4170468,125,0.0
1535248542.1262498,127,0.0
1535248607.622228,130,0.0
1535248669.4354708,133,1.0
1535248693.093123,134,0.0
1535248728.557518,136,0.0
1535248794.4110363,139,0.0
1535248814.702023,140,1.0
1535248834.9266589,141,1.0
1535248866.6873326,143,0.0
1535248949.947802,147,0.0
1535248972.5852296,148,0.0
1535249138.2428775,156,0.0
1535249215.6918747,160,0.0
1535249234.9311101,161,0.0
1535249250.9970562,162,0.0
1535249353.0544991,167,0.0
1535249371.5254815,168,0.0
1535249436.2211416,171,0.0
1535249512.4015431,175,0.0
1535249528.463949,176,0.0
1535249547.5681977,177,0.0
1535249626.9486263,181,0.0
1535249651.773081,182,0.0
1535249676.0779366,183,0.0
1535249711.736473,185,0.0
1535249727.538657,186,0.0
1535249749.4337776,187,0.0
1535249772.524425,188,0.0
1535249793.993634,189,0.0
1535249813.5405457,190,0.0
1535249886.0249062,193,0.0
