Wall time,Step,Value
1535333589.9334946,4,0.0
1535333643.6108391,6,0.0
1535333670.880558,7,0.0
1535333697.780934,8,0.0
1535333727.0156765,9,0.0
1535333749.4643621,10,0.0
1535333773.8245919,11,0.0
1535333805.8190498,12,0.0
1535333834.6921365,13,0.0
1535333984.2772732,18,0.0
1535334011.7143621,19,0.0
1535334048.43414,20,0.0
1535334080.8150742,21,0.0
1535334109.7173758,22,0.0
1535334133.7483668,23,0.0
1535334164.1423879,24,0.0
1535334202.870303,25,0.0
1535334228.2074308,26,0.0
1535334302.0402153,28,0.0
1535334346.976964,30,0.0
1535334480.278618,34,0.0
1535334512.332076,35,0.0
1535334539.4640026,36,0.0
1535334572.7330368,37,0.0
1535334596.0782065,38,0.0
1535334626.3375714,39,0.0
1535334650.318261,40,0.0
1535334684.8247027,41,0.0
1535334714.4047208,42,0.0
1535334741.7157001,43,0.0
1535334803.6316464,45,0.0
1535334836.5800183,46,0.0
1535334865.3927174,47,0.0
1535334902.4663017,48,0.0
1535334930.2506142,49,0.0
1535334956.923045,50,0.0
1535335023.0601459,52,0.0
1535335080.2930923,54,0.0
1535335104.5529094,55,0.0
1535335133.8491132,56,0.0
1535335158.9736052,57,0.0
1535335189.4309437,58,0.0
1535335216.646603,59,0.0
1535335241.188704,60,0.0
1535335263.9382315,61,0.0
1535335292.431405,62,0.0
1535335393.8930337,66,0.0
1535335475.7342246,69,0.0
1535335517.1152236,71,0.0
1535335543.7479508,72,0.0
1535335565.1467814,73,0.0
1535335604.491341,74,0.0
1535335718.3436582,78,0.0
1535335787.866294,80,0.0
1535335853.0245585,82,0.0
1535335886.7064903,83,0.0
1535335913.459068,84,0.0
1535335950.8130624,85,0.0
1535335977.0561337,86,0.0
1535336045.2355044,88,0.0
1535336076.07733,89,0.0
1535336099.6420121,90,0.0
1535336125.5475328,91,0.0
1535336154.6841922,92,0.0
1535336183.160664,93,0.0
1535336245.4209685,95,0.0
1535336269.9666383,96,0.0
1535336302.0952108,97,0.0
1535336323.5486,98,0.0
1535336357.4322388,99,0.0
1535336409.1434894,101,0.0
1535336435.10881,102,0.0
1535336466.3244812,103,0.0
1535336555.398641,106,0.0
1535336589.3169854,107,0.0
1535336618.8767405,108,0.0
1535336644.8791904,109,0.0
1535336675.4435303,110,0.0
1535336763.4100838,113,0.0
1535336792.7476816,114,0.0
1535336828.732121,115,0.0
1535336891.9815116,117,0.0
1535336937.1428733,119,0.0
1535337054.0434222,123,0.0
1535337071.9299636,124,0.0
1535337102.822461,125,0.0
1535337157.12509,127,0.0
1535337189.466132,128,0.0
1535337233.2307534,130,0.0
1535337296.1396503,132,0.0
1535337331.3055904,133,0.0
1535337359.758331,134,0.0
1535337385.39117,135,0.0
1535337416.3405693,136,0.0
1535337478.198935,138,0.0
1535337506.698154,139,0.0
1535337534.14043,140,0.0
1535337565.8808806,141,0.0
1535337590.7996378,142,0.0
1535337623.2613006,143,0.0
1535337708.9161553,146,8.856835484039038e-05
1535337738.6358035,147,6.326311267912388e-05
1535337766.4020813,148,3.7957866879878566e-05
1535337829.935083,150,-1.2652621990127955e-05
1535337851.2047,151,-3.7957866879878566e-05
1535337872.548914,152,-6.326311267912388e-05
1535337925.5599916,154,-0.00011387359700165689
1535337962.0612013,155,0.0
1535337994.0392354,156,0.0
1535338022.810389,157,0.0
1535338056.616906,158,0.0
1535338104.572195,160,0.0
1535338131.6727355,161,0.0
1535338165.4994478,162,0.0
1535338192.8238058,163,0.0
1535338246.5789795,165,0.0
1535338274.1329377,166,0.0
1535338297.5076396,167,0.0
1535338318.6815088,168,0.0
1535338346.7879395,169,0.0
1535338374.272743,170,0.0
1535338393.906028,171,0.0
1535338443.630018,173,0.0
1535338503.810916,175,0.0
1535338535.1042874,176,0.0
1535338563.1653368,177,0.0
1535338591.1099055,178,0.0
1535338610.0968425,179,0.0
1535338640.9570324,180,0.0
1535338670.4795637,181,0.0
1535338698.9654229,182,0.0
1535338718.891757,183,0.0
1535338745.735678,184,0.0
1535338777.0757294,185,0.0
1535338809.9900327,186,0.0
1535338835.7438486,187,0.0
1535338869.2505004,188,0.0
1535338908.8634987,189,0.0
1535338938.5958366,190,0.0
1535338973.6038384,191,0.0
1535339004.6468554,192,0.0
1535339029.73269,193,0.0
1535339058.0604208,194,0.0
1535339081.926938,195,0.0
1535339138.2935877,197,0.0
1535339173.255069,198,0.0
1535339194.8351831,199,0.0
1535339232.991238,200,0.0
1535339267.2140396,201,0.0
1535339294.7055686,202,0.0
1535339395.6040452,205,0.0
1535339423.5131402,206,0.0
1535339481.4155257,208,0.0
1535339541.164098,210,0.0
1535339565.2807097,211,0.0
1535339589.5922508,212,0.0
1535339606.262189,213,0.0
1535339631.7815723,214,0.0
1535339648.686708,215,0.0
1535339671.2670276,216,0.0
1535339738.8716884,219,0.0
1535339756.5671778,220,0.0
1535339780.8499348,221,0.0
1535339803.4642575,222,0.0
1535339826.4754357,223,0.0
1535339847.7857113,224,0.00011387359700165689
1535339867.9450226,225,8.856835484039038e-05
1535339939.6955755,228,1.2652621990127955e-05
1535339988.0841703,230,-3.7957866879878566e-05
1535340009.8683746,231,-6.326311267912388e-05
1535340032.3255079,232,-8.856835484039038e-05
1535340051.298095,233,-0.00011387359700165689
1535340069.4813607,234,0.0
1535340102.9311957,236,0.0
1535340127.1914098,237,0.0
1535340151.319927,238,0.0
1535340173.0639422,239,0.0
1535340196.7870078,240,0.0
1535340219.7898905,241,0.0
